--- Summary Report ---

Data Summary for Event_Type per State:
              Event_Type                State  Count
       Thunderstorm Wind               KANSAS    373
       Thunderstorm Wind             KENTUCKY    275
       Thunderstorm Wind            LOUISIANA    260
       Thunderstorm Wind                MAINE    120
       Thunderstorm Wind             MARYLAND    172
       Thunderstorm Wind        MASSACHUSETTS     67
       Thunderstorm Wind             MICHIGAN    393
       Thunderstorm Wind            MINNESOTA    212
       Thunderstorm Wind          MISSISSIPPI    218
       Thunderstorm Wind             MISSOURI    386
       Thunderstorm Wind              MONTANA    309
       Thunderstorm Wind             NEBRASKA    269
       Thunderstorm Wind               NEVADA     43
       Thunderstorm Wind        NEW HAMPSHIRE    109
       Thunderstorm Wind           NEW JERSEY    124
       Thunderstorm Wind           NEW MEXICO     93
       Thunderstorm Wind             NEW YORK    324
       Thunderstorm Wind       NORTH CAROLINA    341
       Thunderstorm Wind         NORTH DAKOTA    132
       Thunderstorm Wind                 OHIO    811
